Year,Annual Average CPI(-U),Annual Percent Change,index,title,genre,budget,revenue,release_date,runtime,director,meta_mixed,meta_negative,meta_positive,metascore,user_mixed,user_negative,user_positive,userscore,release_year,Poster_URL
2005,195.3,0.034,1379,Transporter 2,Action,32000000,85167639,8/2/2005,87,Louis Leterrier,13,2,14,56,55,186,73,3.2,2005,https://image.tmdb.org/t/p/w500/cdm17vK8PxHfTi7ayZf6WKbOgUO.jpg
2008,215.3,0.038,2219,Transsiberian,Thriller,15000000,5926410,1/18/2008,111,Brad Anderson,4,0,17,72,14,5,34,6.8,2008,https://image.tmdb.org/t/p/w500/dhTOda5CLp9tEdDzQZiqBTdv5lR.jpg
2010,218.1,0.016,2880,Trust,Crime,9500000,120000,9/10/2010,104,David Schwimmer,3,3,12,60,6,2,28,7.4,2010,https://image.tmdb.org/t/p/w500/rXoZYWd2G7pBh8N8Cp5ZO5Sjzbl.jpg
2005,195.3,0.034,2960,Tsotsi,Crime,3000000,9879971,8/18/2005,94,Gavin Hood,7,0,28,70,6,2,30,7.8,2005,https://image.tmdb.org/t/p/w500/fvPGF7NYuZJACYVRAAF3FXicVf0.jpg
2003,184,0.023,3190,Tupac: Resurrection,Music,300000,7808524,1/23/2003,112,Lauren Lazin,10,0,23,66,0,3,27,8.3,2003,https://image.tmdb.org/t/p/w500/dGJxjq8npqFZtuAtGsyjntip7uh.jpg
1997,160.5,0.023,3130,Two Girls and a Guy,Drama,1000000,2057193,9/7/1997,84,James Toback,7,1,14,66,1,1,6,7.4,1997,https://image.tmdb.org/t/p/w500/9Hj90OgXLBReJCAGqOOzzxjZfCh.jpg
2008,215.3,0.038,2382,Two Lovers,Drama,12000000,3148182,11/19/2008,110,James Gray,5,1,27,74,6,5,89,8.6,2008,https://image.tmdb.org/t/p/w500/skwYEUcxhUub9QCSwPDMvBySphS.jpg
2007,207.3,0.029,2194,U2 3D,Music,15000000,22730842,5/19/2007,85,Mark Pellington,1,0,18,83,2,6,36,8,2007,
2014,236.7,0.016,2273,Under the Skin,Thriller,13300000,5380251,3/14/2014,108,Jonathan Glazer,6,3,34,78,72,78,290,6.8,2014,https://image.tmdb.org/t/p/w500/55wmcXJIDYITr7JDijJTdvwSaAv.jpg
2005,195.3,0.034,1045,Unleashed,Action,45000000,50871113,2/2/2005,103,Louis Leterrier,11,2,18,58,9,10,158,8.7,2005,https://image.tmdb.org/t/p/w500/gghvmS3UxtOw1UHIgYjpeZNxHil.jpg
